基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
泰达宏利复兴混合,001170,10.34亿元（2020-09-30）,12.24%,22.52%,21.90%,79.83%,76.86%,92.60%,吴华,5年又266天,92.60%,6年又293天
工银精选平衡混合,483003,15.72亿元（2020-09-30）,12.50%,24.19%,28.83%,72.68%,51.25%,211.64%,王君正,1年又332天,112.08%,7年又139天
华泰柏瑞质量成长,008528,17.22亿元（2020-09-30）,19.31%,17.00%,24.33%,--,--,66.21%,李晓西,298天,66.21%,327天
富国天瑞强势混合,100022,40.17亿元（2020-09-30）,17.13%,26.70%,38.73%,96.44%,106.93%,2050.76%,厉叶淼,4年又344天,258.76%,5年又155天
嘉合消费升级混合,007281,0.26亿元（2020-09-30）,24.17%,38.80%,38.38%,82.27%,--,92.33%,杨彦喆/李国林,206天,57.03%,1年又211天/1年又361天
景顺长城集英两年定开混合,006345,65.80亿元（2020-09-30）,20.52%,29.31%,44.44%,95.21%,--,121.93%,刘彦春,1年又270天,121.93%,11年又257天
融通领先成长混合(LOF)C,009241,0.06亿元（2020-09-30）,14.61%,22.94%,28.86%,--,--,75.06%,何龙/邹曦,284天,75.06%,5年又136天/13年又37天
泰信鑫选灵活配置混合A,001970,0.22亿元（2020-09-30）,-3.57%,-7.40%,-10.68%,6.45%,22.10%,18.80%,董季周/董山青,47天,-2.86%,1年又179天/8年又325天
上投摩根中小盘混合,379010,8.10亿元（2020-09-30）,16.96%,24.34%,18.73%,70.85%,98.30%,338.22%,郭晨,5年又330天,132.92%,9年又269天
工银战略新兴产业混合A,006615,1.71亿元（2020-09-30）,10.65%,25.79%,44.84%,120.56%,--,175.26%,夏雨/杜洋,1年又117天,135.63%,1年又117天/5年又330天
泓德量化精选混合,006336,5.43亿元（2020-09-30）,14.04%,25.39%,32.95%,82.88%,--,102.44%,苏昌景,1年又127天,102.44%,4年又257天
博道嘉瑞混合C,008468,1.18亿元（2020-09-30）,16.22%,25.32%,30.46%,76.93%,--,77.34%,张迎军,1年又12天,77.34%,7年又195天
东方中国红利混合,009999,2.76亿元（2020-09-30）,7.99%,8.43%,--,--,--,8.43%,薛子徵/许文波,6天,2.72%,5年又257天/5年又9天
新华行业灵活配置混合C,519157,0.12亿元（2020-09-30）,5.40%,9.03%,17.68%,53.40%,54.54%,128.41%,申峰旗/赵强,88天,1.79%,88天/4年又293天
长城改革红利混合,001255,3.59亿元（2020-09-30）,13.71%,16.84%,9.90%,46.05%,41.52%,4.16%,赵凤飞,1年又309天,71.20%,2年又309天
富国中小盘精选混合,000940,9.82亿元（2020-09-30）,6.84%,18.75%,22.71%,88.13%,116.46%,209.10%,曹晋,5年又354天,209.10%,7年又143天
华安中小盘成长混合,040007,22.16亿元（2020-09-30）,12.57%,20.35%,15.56%,53.92%,86.81%,195.72%,李欣,2年又189天,119.74%,5年又187天
泰信蓝筹精选混合,290006,2.34亿元（2020-09-30）,10.65%,15.63%,17.08%,33.24%,20.36%,105.03%,徐慕浩/董山青,47天,10.26%,1年又147天/8年又325天
中加优势企业混合C,009854,0.21亿元（2020-08-13）,22.63%,38.95%,--,--,--,36.55%,李坤元,150天,36.55%,8年又337天
银华多元动力灵活配置混合,005251,6.11亿元（2020-09-30）,14.83%,24.94%,29.62%,80.47%,128.63%,129.02%,王智伟/贾鹏,51天,17.71%,4年又169天/6年又138天
南方绩优成长混合C,006540,0.42亿元（2020-09-30）,13.19%,20.33%,18.70%,48.53%,--,125.27%,骆帅/史博,2年又59天,125.27%,5年又229天/12年又244天
同泰慧选混合发起式C,008094,0.22亿元（2020-09-30）,17.83%,22.85%,22.76%,49.82%,--,52.94%,沈莉,1年又25天,52.94%,1年又52天
广发制造业精选混合A,270028,10.41亿元（2020-09-30）,9.06%,14.39%,24.76%,86.51%,109.93%,466.80%,李巍,7年又341天,433.71%,9年又115天
浦银安盛医疗健康混合,519171,7.24亿元（2020-09-30）,13.82%,15.54%,19.14%,90.89%,140.61%,83.83%,胡攸乔/陈蔚丰,38天,16.27%,38天/5年又232天
易方达科翔混合,110013,53.48亿元（2020-09-30）,14.97%,23.07%,15.68%,70.48%,106.69%,766.86%,陈皓,6年又247天,471.70%,8年又106天
南方积极配置混合(LOF),160105,6.75亿元（2020-09-30）,13.41%,18.88%,19.71%,40.99%,29.63%,666.02%,张延闽/张原,226天,50.78%,5年又296天/11年又110天
光大动态优选混合,360011,1.99亿元（2020-09-30）,10.22%,20.79%,12.71%,72.41%,85.36%,320.17%,房雷,1年又14天,75.31%,4年又13天
宝盈现代服务业混合C,009224,1.74亿元（2020-09-30）,12.97%,15.64%,--,--,--,13.26%,肖肖,177天,13.26%,4年又4天
国联安新蓝筹红利一年定开混合,008878,2.60亿元（2020-08-13）,15.39%,25.84%,--,--,--,24.59%,张汉毅/刘斌,146天,26.03%,4年又19天/7年又33天
中加优势企业混合A,009853,3.20亿元（2020-08-13）,22.77%,39.61%,--,--,--,37.33%,李坤元,150天,37.33%,8年又337天
融通领先成长混合(LOF)A,161610,32.30亿元（2020-09-30）,14.62%,23.14%,29.13%,70.38%,109.81%,154.16%,何龙/邹曦,2年又141天,137.14%,5年又136天/13年又37天
永赢成长领航混合C,010563,1.60亿元（2020-12-01）,10.88%,--,--,--,--,11.91%,于航,40天,11.91%,5年又162天
国富成长动力混合,450007,0.74亿元（2020-09-30）,9.52%,17.27%,15.63%,45.34%,57.81%,178.04%,杜飞,3年又320天,82.49%,5年又179天
长盛国企改革混合,001239,7.07亿元（2020-09-30）,17.06%,25.54%,21.15%,50.33%,44.37%,-30.70%,代毅/乔培涛,264天,55.03%,2年又220天/4年又140天
长盛创新先锋混合,080002,0.85亿元（2020-09-30）,14.11%,23.89%,19.07%,41.36%,52.57%,367.98%,付海宁,121天,21.80%,3年又86天
富国新动力灵活配置混合C,001510,12.55亿元（2020-09-30）,12.75%,16.26%,23.18%,85.27%,237.60%,313.90%,刘博,219天,44.82%,2年又185天
浦银安盛睿智精选混合C,519173,0.22亿元（2020-09-30）,9.70%,19.43%,24.97%,54.08%,64.01%,83.20%,秦闻/杨岳斌,11天,8.66%,11天/8年又181天
华安事件驱动量化策略混合,002179,0.50亿元（2020-09-30）,15.66%,23.64%,23.17%,67.19%,56.53%,59.50%,张序/孙晨进,237天,58.08%,237天/5年又298天
华夏复兴混合,000031,49.34亿元（2020-09-30）,13.70%,16.42%,12.43%,60.83%,105.07%,260.10%,周克平,1年又296天,123.11%,1年又352天
中信建投聚利混合C,006845,0.48亿元（2020-09-30）,8.62%,11.55%,11.64%,23.12%,--,30.77%,周紫光/谢玮,159天,6.82%,3年又229天/2年又220天
华夏策略混合,002031,8.53亿元（2020-09-30）,11.44%,20.39%,19.53%,56.36%,78.11%,761.67%,林晶,3年又310天,97.78%,3年又342天
中信建投聚利混合A,001914,0.23亿元（2020-09-30）,8.66%,11.69%,11.86%,23.61%,14.70%,22.48%,周紫光/谢玮,159天,7.00%,3年又229天/2年又220天
鹏华增瑞混合(LOF),160642,3.99亿元（2020-09-30）,6.99%,16.46%,22.96%,53.31%,68.75%,80.09%,伍旋/谢书英,2年又155天,104.49%,9年又16天/6年又268天
泰达改革动力混合A,001017,2.35亿元（2020-09-30）,14.60%,22.13%,28.50%,62.64%,70.61%,166.77%,刘欣,5年又333天,166.77%,8年又151天
汇添富消费升级混合,006408,34.76亿元（2020-09-30）,17.21%,23.27%,30.09%,88.12%,--,165.31%,郑慧莲/胡昕炜,2年又21天,165.31%,3年又30天/4年又278天
建信消费升级混合,000056,0.79亿元（2020-09-30）,11.42%,18.90%,21.57%,53.74%,70.97%,241.60%,邱宇航,7年又212天,241.60%,9年又186天
建信战略精选灵活配置混合A,005596,2.23亿元（2020-09-30）,9.00%,23.75%,31.40%,71.53%,--,130.29%,王东杰,2年又282天,130.29%,5年又244天
国寿安保核心产业混合,002376,5.78亿元（2020-09-30）,6.70%,16.36%,22.81%,29.72%,35.01%,65.73%,张标/李丹,1年又136天,39.85%,2年又282天/4年又343天
工银战略新兴产业混合C,006616,1.75亿元（2020-09-30）,10.62%,25.66%,44.56%,119.71%,--,172.73%,夏雨/杜洋,1年又117天,134.20%,1年又117天/5年又330天
新华行业灵活配置混合A,519156,9.16亿元（2020-09-30）,5.45%,9.08%,17.78%,53.65%,55.58%,393.41%,申峰旗/赵强,88天,1.85%,88天/4年又293天
广发聚丰混合C,010025,0.00亿元（2020-09-30）,9.83%,12.14%,--,--,--,13.17%,邱璟旻,107天,13.17%,4年又266天
前海开源中国稀缺资产混合C,002079,7.76亿元（2020-09-30）,23.34%,38.60%,43.05%,132.89%,309.66%,251.90%,曲扬,5年又54天,251.90%,7年又58天
中欧永裕混合A,001306,7.43亿元（2020-09-30）,14.37%,30.10%,41.07%,96.63%,114.84%,115.70%,魏博,1年又124天,115.05%,8年又150天
广发制造业精选混合C,010023,0.00亿元（2020-09-30）,9.03%,14.27%,--,--,--,15.39%,李巍,110天,15.39%,9年又115天
华宝成长策略混合,009189,2.61亿元（2020-09-30）,20.56%,37.25%,31.49%,--,--,51.70%,光磊/汤慧,246天,51.70%,5年又278天/1年又128天
交银启汇混合,009618,98.72亿元（2020-09-30）,14.45%,22.83%,24.77%,--,--,24.77%,楼慧源,187天,24.77%,2年又121天
华夏见龙精选混合,008308,5.80亿元（2020-09-30）,23.84%,43.23%,45.71%,--,--,74.17%,潘中宁,240天,74.17%,2年又106天
招商中小盘混合,217013,2.19亿元（2020-09-30）,18.04%,25.85%,36.77%,90.01%,111.58%,269.00%,韩冰,1年又295天,154.31%,5年又252天
华泰柏瑞行业精选C,008527,0.78亿元（2020-09-30）,15.60%,17.72%,19.13%,--,--,41.59%,吕慧建,263天,41.59%,11年又55天
万家互联互通中国优势A,010296,6.84亿元（2020-11-04）,16.03%,--,--,--,--,18.11%,尹航,67天,18.11%,173天
浦银安盛睿智精选混合A,519172,0.26亿元（2020-09-30）,9.76%,19.66%,25.48%,55.24%,68.07%,91.10%,秦闻/杨岳斌,11天,8.70%,11天/8年又181天
富国研究优选沪港深混合,001827,0.88亿元（2020-09-30）,17.60%,30.10%,47.60%,90.63%,103.98%,176.60%,厉叶淼/刘莉莉/汪孟海,270天,98.28%,5年又155天/2年又184天/5年又95天
天治研究驱动混合A,350009,1.11亿元（2020-09-30）,18.51%,28.89%,37.43%,80.27%,110.71%,215.65%,TIAN HUAN,2年又157天,137.03%,2年又157天
长盛电子信息产业混合,080012,15.03亿元（2020-09-30）,9.85%,16.14%,10.25%,61.09%,62.66%,414.36%,钱文礼,2年又119天,124.33%,3年又76天
渤海汇金量化汇盈混合,005021,0.04亿元（2020-09-30）,10.34%,17.54%,20.51%,44.23%,--,69.31%,何翔,72天,14.40%,3年又170天
万家互联互通中国优势C,010297,1.28亿元（2020-11-04）,15.97%,--,--,--,--,18.00%,尹航,67天,18.00%,173天
圆信永丰研究精选混合A,009847,12.83亿元（2020-08-27）,12.50%,20.26%,--,--,--,14.51%,李明阳,136天,14.51%,3年又37天
中银研究精选灵活配置混合,000939,4.16亿元（2020-09-30）,15.88%,27.37%,34.52%,113.76%,164.12%,147.29%,吴印,1年又82天,118.15%,9年又211天
汇添富医疗服务混合,001417,56.10亿元（2020-09-30）,9.04%,9.93%,13.53%,71.57%,125.87%,114.80%,刘江,5年又208天,114.80%,5年又208天
国泰金泰灵活配置混合A,519020,4.71亿元（2020-09-30）,0.75%,3.97%,20.15%,54.08%,91.94%,125.16%,李海,2年又259天,103.79%,4年又217天
华安幸福生活混合,005136,11.41亿元（2020-09-30）,16.03%,23.07%,42.55%,98.54%,169.33%,169.44%,崔莹,-,--,5年又208天
招商丰盛稳定增长混合C,002417,0.21亿元（2020-09-30）,21.18%,26.93%,28.44%,69.76%,91.47%,99.66%,王奇玮,1年又203天,106.60%,4年又11天
国联安主题驱动混合,257050,1.69亿元（2020-09-30）,16.41%,26.93%,37.02%,90.18%,108.26%,215.12%,张汉毅,3年又318天,163.04%,4年又19天
易方达科顺定开混合,161132,5.33亿元（2020-09-30）,15.30%,31.10%,47.97%,85.97%,--,139.55%,萧楠,2年又77天,139.55%,8年又106天
浦银安盛环保新能源C,007164,0.16亿元（2020-09-30）,27.06%,42.92%,45.03%,75.13%,--,108.82%,褚艳辉,181天,36.68%,6年又200天
易方达资源行业混合,110025,6.74亿元（2020-09-30）,17.67%,38.71%,37.22%,41.18%,4.78%,27.20%,兰传杰,2年又16天,60.40%,2年又17天
浦银安盛环保新能源A,007163,0.21亿元（2020-09-30）,27.09%,43.06%,45.29%,75.73%,--,110.63%,褚艳辉,181天,36.92%,6年又200天
平安高端制造混合A,007082,3.88亿元（2020-09-30）,22.96%,30.07%,32.85%,96.42%,--,170.53%,李化松,1年又262天,170.53%,4年又236天
中银高质量发展机遇混合,009026,2.55亿元（2020-09-30）,14.05%,24.57%,34.51%,--,--,56.46%,王睿,291天,56.46%,2年又53天
