基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
鹏华医药科技,001230,16.10亿元（2020-09-30）,16.71%,27.05%,36.12%,109.42%,135.27%,33.40%,金笑非,3年又166天,162.60%,4年又201天
大成高新技术产业股票A,000628,14.98亿元（2020-09-30）,4.85%,18.30%,32.73%,61.97%,92.58%,222.00%,刘旭,2年又122天,127.56%,5年又167天
广发医疗保健股票A,004851,120.44亿元（2020-09-30）,13.48%,17.16%,17.09%,105.07%,204.54%,251.84%,吴兴武,2年又67天,243.49%,5年又334天
中欧医疗创新股票C,006229,10.06亿元（2020-09-30）,14.11%,20.98%,20.98%,105.74%,--,157.14%,葛兰,1年又317天,157.14%,5年又188天
中欧医疗创新股票A,006228,16.33亿元（2020-09-30）,14.19%,21.24%,21.47%,107.39%,--,160.81%,葛兰,1年又317天,160.81%,5年又188天
国金量化多因子,006195,0.03亿元（2020-09-30）,4.58%,9.34%,12.02%,19.24%,--,42.41%,马芳/宫雪,129天,4.25%,129天/7年又170天
安信量化优选股票A,006346,0.26亿元（2020-09-30）,0.12%,4.05%,5.27%,38.86%,--,99.63%,施荣盛,355天,38.16%,363天
宝盈国家安全沪港深股票,001877,0.45亿元（2020-09-30）,9.08%,4.57%,1.17%,31.85%,25.83%,21.30%,陈金伟,44天,13.58%,50天
创金上证超大盘量化A,008768,0.11亿元（2020-09-30）,7.95%,15.29%,11.33%,24.79%,--,25.51%,董梁,1年又15天,25.51%,3年又147天
大成睿裕六月持有股票C,008872,0.20亿元（2020-09-30）,2.13%,11.76%,19.23%,--,--,22.33%,刘旭,219天,22.33%,5年又167天
工银互联网加股票,001409,45.26亿元（2020-09-30）,16.75%,27.08%,28.65%,80.74%,78.54%,-26.80%,单文/张继圣,39天,20.20%,4年又203天/2年又23天
民生加银龙头优选股票,008860,11.33亿元（2020-09-30）,17.59%,27.88%,45.73%,--,--,76.57%,王亮,306天,76.57%,3年又69天
创金上证超大盘量化C,008769,0.06亿元（2020-09-30）,7.91%,15.15%,11.04%,24.16%,--,24.87%,董梁,1年又15天,24.87%,3年又147天
大成高新技术产业股票C,011066,--亿元（--）,--,--,--,--,--,4.17%,刘旭,16天,4.17%,5年又167天
宝盈人工智能股票C,005963,9.05亿元（2020-09-30）,9.80%,14.31%,9.01%,63.56%,--,182.34%,张仲维,2年又149天,182.34%,5年又150天
宝盈人工智能股票A,005962,48.71亿元（2020-09-30）,9.88%,14.56%,9.46%,64.88%,--,187.83%,张仲维,2年又149天,187.83%,5年又150天
华夏经济转型股票,002229,23.72亿元（2020-09-30）,12.78%,16.27%,16.81%,68.34%,123.62%,188.25%,张帆,2年又171天,105.16%,4年又5天
泰达宏利业绩股票C,004485,0.05亿元（2020-09-30）,9.64%,16.86%,15.20%,39.66%,58.08%,68.17%,刘洋,1年又348天,97.27%,2年又154天
大成睿裕六月持有股票A,008871,7.70亿元（2020-09-30）,2.19%,11.94%,19.59%,--,--,22.77%,刘旭,219天,22.77%,5年又167天
广发高端制造股票A,004997,71.04亿元（2020-09-30）,9.46%,25.71%,45.47%,133.46%,152.12%,178.11%,郑澄然/孙迪,171天,32.69%,235天/3年又28天
嘉实低价策略股票,001577,2.98亿元（2020-09-30）,10.96%,22.94%,34.65%,75.59%,92.34%,146.00%,栾峰,83天,22.08%,155天
