基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
汇安中债-广西信用债C,008550,0.00亿元（2020-09-30）,0.52%,0.56%,1.54%,2.41%,--,2.43%,张再奇,1年又15天,2.43%,1年又317天
兴业中证银行50金融债指数A,008042,15.67亿元（2020-09-30）,0.79%,1.38%,1.37%,2.63%,--,3.35%,杨逸君,1年又53天,3.35%,5年又64天
融通中债1-3年国开行债券指数C,008788,0.02亿元（2020-09-30）,0.69%,1.60%,1.70%,--,--,1.59%,许富强,233天,1.59%,2年又238天
中融1-3年中高等级信用债A,003081,9.83亿元（2020-09-30）,0.49%,0.23%,0.58%,2.74%,10.07%,12.21%,朱柏蓉,1年又127天,4.41%,1年又346天
兴业中证银行50金融债指数C,008043,0.00亿元（2020-09-30）,0.78%,1.35%,1.32%,2.54%,--,3.23%,杨逸君,1年又53天,3.23%,5年又64天
创金合信中债1-3年国开债C,008126,0.03亿元（2020-09-30）,0.89%,1.46%,1.71%,3.16%,--,3.78%,吕沂洋/郑振源,1年又22天,3.48%,1年又22天/5年又242天
创金合信中债1-3年国开债A,008125,3.52亿元（2020-09-30）,0.93%,1.51%,1.76%,3.19%,--,3.83%,吕沂洋/郑振源,1年又22天,3.52%,1年又22天/5年又242天
南方0-5年江苏城投债A,008626,7.28亿元（2020-09-30）,0.74%,1.13%,1.51%,--,--,0.86%,朱佳/董浩/夏晨曦,233天,0.61%,233天/5年又123天/8年又176天
中信保诚中债1-3年农发行C,009321,0.00亿元（2020-09-30）,0.77%,14.55%,14.56%,--,--,14.53%,何文忠,227天,14.53%,1年又288天
中融1-3年中高等级信用债C,003082,0.01亿元（2020-09-30）,0.45%,0.14%,0.48%,2.57%,9.22%,11.02%,朱柏蓉,1年又127天,4.14%,1年又346天
中信保诚中债1-3年农发行A,009320,1.00亿元（2020-09-30）,0.77%,14.50%,14.74%,--,--,14.72%,何文忠,227天,14.72%,1年又288天
前海开源3-5年国开债A,007763,0.52亿元（2020-09-30）,1.06%,1.96%,1.89%,2.58%,--,4.15%,李炳智,1年又138天,4.15%,3年又351天
